modifier_id,ability_id,stat,op,value
wobble,laser_eyes,wobble,set,1
wobble,laser_eyes,wobble_cone_degrees,set,16
big,laser_eyes,radius,mul,1.22
big,laser_eyes,beam_width,mul,1.22
big,laser_eyes,impact_radius,mul,1.22
big,nuke,radius,mul,1.22
big,nuke,crater_radius,mul,1.22
big,nuke,projectile_radius,mul,1.22
big,starfire,radius,mul,1.22
big,starfire,crater_radius,mul,1.22
big,starfire,projectile_radius,mul,1.22
big,meteor_punch,radius,mul,1.22
big,meteor_punch,crater_radius,mul,1.22
big,nausicaa,radius,mul,1.22
big,nausicaa,crater_radius,mul,1.22
big,grapple,radius,mul,1.22
big,*,radius,mul,1.22
big,*,crater_radius,mul,1.22
big,*,projectile_radius,mul,1.22
